path	classification	source	license_spdx	final_action	sha256	size_bytes
resources/README.md	project_authored	MembraneForger	MIT	KEEP_VERIFIED	fd4188f0324ec2e53df3869cfdabafd6f6a27238f5c8c6c83c161728fa74da58	622
resources/aa_mdp/README	project_authored	MembraneForger	MIT	KEEP_VERIFIED	0420bd7849bf7da2fbd10a53e544c97ecb716bd7ab19533faf0c4d387c20f291	544
resources/aa_mdp/an.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	1ed8d5837a94d2b5ad32162dce391a3dfe247cb4bda1957f9442acd011b1034e	2311
resources/aa_mdp/ions.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	191f674ae8dd7c3b257b41bde1aa7426f81856d270c46d1d9895bf54308d1d4d	935
resources/aa_mdp/md-cont.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	a0bf4085739bfbcc38bfe7576e7bc485910aa06b881ac6c166b924dfab981fe1	2255
resources/aa_mdp/md-p.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	6092326be4368a2af8cc64e82045f4b475d973095857bc70aaeae91a54e05463	2246
resources/aa_mdp/md.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	6de147089304548e47d2695b5d52001aef61cebb736f84922c0b743fe9fc32ed	2293
resources/aa_mdp/minim.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	b4d381fe81713f5aced3ef417948829588c3bbbb9b0afaa7d7612b6e7cdb01ac	1029
resources/aa_mdp/npt.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	e9c4eacffaca7d5ac80ec10407db7422b5e448870e79ca16035e35b18fb7c43a	2318
resources/aa_mdp/npt00.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	1a31bba625e512122867634ebf19f5fa7e9fa56baef6804fd8e74e1cf14a97f6	2229
resources/aa_mdp/npt0k.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	9dbd6c8fe45411de0310ce5f8ea0cab572c4212de7d37a61ca71130f5051bd5c	2272
resources/aa_mdp/npt1k-long.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	a4df707f956e32ab7d0cbf88fe65a1e166c969e66fb6fe8d3807bf9c1a87b3fa	2315
resources/aa_mdp/npt1k.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	06da721fb26c22f70c101818c365d270195f22025f1766c9ff9d5c1f293d0aa4	2336
resources/aa_mdp/npt2k.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	ba6bdf5f3e9aef6f5dfc7bb57625cf1a94e599e02baded4486ff0a6f03990909	2334
resources/aa_mdp/npt3k.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	6ccb085299d7e22b5eb3baa3dec6b90816a9ce97ce8d0df9262de48265417d14	2336
resources/aa_mdp/npt4k.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	afc84ddf9a810302ad7954c80d3edfa9d4e7c65a52238a66a0553f180245f834	2361
resources/aa_mdp/npt5k.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	0bd0e5dde856579f8491d7ffbc9d1907f360cce31b88fcab019b4b60bec29d22	2360
resources/aa_mdp/nvt.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	3ac03419844c1feee347b59e4279705304786cd4710f5c25c2ab67d9787cb6e9	2248
resources/cg_mdp/step6.0_minimization.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	0b6310efa08577fa44ee0a117553c9505fbbdba2ae8ef22ea53f22293dc1579b	1565
resources/cg_mdp/step6.1_minimization.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	ea16552fc957b8f4da3ff6b92812090c2b82efef52bcb5e25807b7aa550c4610	1604
resources/cg_mdp/step6.2_equilibration.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	1114a718946492a8965aa5214e1a12fd7c4b836eaf62cb4786870724443d5f2b	1835
resources/cg_mdp/step6.3_equilibration.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	4bea0b73d0c032599b53f6e9dbd7fac46c2879226cc48f62663bc03ecd93ee1f	2089
resources/cg_mdp/step6.4_equilibration.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	5424bd78a864e933da0ed73a0487a66134d69173c86d357e0f3f3ff0b285cb82	2097
resources/cg_mdp/step6.5_equilibration.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	20151fd03c2a4f2348a6a3e8e93df46879d559a460302d48d54df121811f5d77	2323
resources/cg_mdp/step6.6_equilibration.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	3addb25698a10fb4b000948d47f4ec58e6b69b0cffdeafb8d8638ef6a0f6cac0	2323
resources/cg_mdp/step7.1_production.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	564cdbc724824392bfa41c55e20f1b29aa0aaa569c38b431e372ba89993b97f0	2274
resources/cg_mdp/step7.2_production.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	564cdbc724824392bfa41c55e20f1b29aa0aaa569c38b431e372ba89993b97f0	2274
resources/cg_mdp/step7.3_production.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	564cdbc724824392bfa41c55e20f1b29aa0aaa569c38b431e372ba89993b97f0	2274
resources/cg_mdp/step7.4_production.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	564cdbc724824392bfa41c55e20f1b29aa0aaa569c38b431e372ba89993b97f0	2274
resources/cg_mdp/step7.5_production.mdp	project_authored	MembraneForger	MIT	KEEP_VERIFIED	55e3acabe127c2bb8a13b8aaf9a42a4c160ee8ec7db6317611735b847c0d8f99	2275
resources/forcefields/martini/CITATIONS.md	project_authored	MembraneForger	MIT	KEEP_VERIFIED	f7ccf147e82a3d4f5a5ce4a55b6b6520dc75d799a6730bdde4f8490f3f8b7798	368
resources/forcefields/martini/ORIGIN.yaml	project_authored	MembraneForger	MIT	KEEP_VERIFIED	131f36300eccb9dc6fab275c9e3054bd36144d5b414565848eb976b4aba8cdb3	2351
resources/forcefields/martini/martini_v3.0.0.itp	third_party_verified	Martini force fields	Apache-2.0	KEEP_VERIFIED	0ecbf0ff334b2ec21dc5e3151aca42167b977bc2aed41eb2a44bd8c997754894	16030960
resources/forcefields/martini/martini_v3.0.0_ions_v1.itp	third_party_verified	Martini force fields	Apache-2.0	KEEP_VERIFIED	699aba132755b0ef13a0d7b41e6230a27777781bdc8075507413b89499c2be4f	7851
resources/forcefields/martini/martini_v3.0.0_nucleobases_v1.itp	third_party_verified	Martini force fields	Apache-2.0	KEEP_VERIFIED	774526a4fa1ba6cbe80bda97c0f0516e31c0f21212466281bfae7348cea6f393	5721
resources/forcefields/martini/martini_v3.0.0_phospholipids_v1.itp	third_party_verified	Martini force fields	Apache-2.0	KEEP_VERIFIED	21fb2eb6d8a1d48854d179dc71981c1210f608486efb3e6644347391ba9cf392	207794
resources/forcefields/martini/martini_v3.0.0_small_molecules_v1.itp	third_party_verified	Martini force fields	Apache-2.0	KEEP_VERIFIED	61eb12c3e70fa31af0503d91c3c4ec03c16e88414c884e694bd4092b0afe3cbc	9862
resources/forcefields/martini/martini_v3.0.0_solvents_v1.itp	third_party_verified	Martini force fields	Apache-2.0	KEEP_VERIFIED	e6a78414b317c38a1a816eded4aee6082a5da1ed229a126359f0cc92314dcb4e	14432
resources/forcefields/martini/martini_v3.0.0_sugars_v1.itp	third_party_verified	Martini force fields	Apache-2.0	KEEP_VERIFIED	342c8a7be7209a9d6f50c91a0adba3e16150863cd33411ca6bb18b4c2675bbbf	909
resources/forcefields/martini/martini_v3.0.0_sugars_v2.itp	third_party_verified	Martini force fields	Apache-2.0	KEEP_VERIFIED	4d29956a77d936cfdad10e8bbdf201cebdaa24a2f5f50688988a1c7bb9ebfc50	11300
resources/ligand_params/GLPA/README.md	project_authored	MembraneForger	MIT	KEEP_VERIFIED	2878754d1cd9ac6753f26646a8d1e2d0a6750476c52b3eec912bac6e6b55e5f7	580
resources/mappings/map.dat	project_authored	MembraneForger	MIT	KEEP_VERIFIED	c88c0da6fa98bf275e98723c5fdd5de04f90c7802b1944191dcc40b7e591dcdb	3281
resources/templates/GM3.xml	project_authored	MembraneForger	MIT	KEEP_VERIFIED	2899de76e3a2bf30cff0bdac74808ef5cfad223623a3ef5fff2a94750c744eab	18108
resources/templates/charmm36_local.xml	project_authored	MembraneForger	MIT	KEEP_VERIFIED	e95bd38f57d2d06976d7b5f665a14364134a94d25b5b8235471b73d7ec7eb2eb	5939669
resources/vendor/README.md	project_authored	MembraneForger	MIT	KEEP_VERIFIED	e2bff4aefbb6a48368720bd946bca2e53da82612c759f6b3dba2264ccbc6df1d	494
resources/vendor/mstool.lock.yaml	bootstrap_lock	mstool	GPL-3.0-only	FETCH_AT_SETUP	ce17f21747f95b6585b764c62cdbc985eb955db34eeabed8e185ec8f62ce2e75	536
